#query	target	e-value	identity (%)	score
YAL001C				
YDR525W				
YDR525W-A				
YDR526C				
YDR527W	Paxin1_134354	7e-14	35%	72.8
YDR528W				
YDR529C	Paxin1_73378	5e-24	39%	88.6
YDR530C	Paxin1_169406	2e-27	29%	108
YDR531W	Paxin1_165433	1e-69	43%	226
YDR532C				
YDR533C				
YDR534C				
YDR535C				
YDR536W	Paxin1_82119	2e-110	38%	340
YDR536W	Paxin1_165220	6e-70	31%	233
YDR536W	Paxin1_169734	5e-63	28%	214
YDR536W	Paxin1_86777	3e-55	30%	194
YDR536W	Paxin1_166739	2e-54	28%	191
YDR537C				
YDR538W				
YDR539W				
YDR540C				
YDR541C	Paxin1_141521	3e-54	35%	181
YDR541C	Paxin1_138878	3e-53	34%	178
YDR541C	Paxin1_102273	2e-51	34%	174
YDR542W				
YDR543C				
YDR544C				
YDR545C-A				
YDR545W				
YEL001C				
YEL002C	Paxin1_175668	3e-36	27%	137
YEL003W	Paxin1_174780	4e-19	35%	75.5
YEL004W	Paxin1_67757	3e-42	32%	149
YEL005C				
YEL006W	Paxin1_167842	2e-61	35%	198
YEL006W	Paxin1_6907	6e-39	32%	140
YEL006W	Paxin1_107242	8e-35	32%	127
YEL006W	Paxin1_165325	3e-29	31%	117
YEL006W	Paxin1_170993	1e-25	29%	104
YEL007W	Paxin1_166582	3e-30	31%	123
YEL008C-A				
YEL008W				
YEL009C				
YEL009C-A				
YEL010W				
YEL011W	Paxin1_166429	0.0	60%	831
YEL012W	Paxin1_67754	8e-76	58%	225
YEL012W	Paxin1_164151	2e-27	41%	101
YEL012W	Paxin1_170199	1e-25	36%	97.1
YEL012W	Paxin1_115361	5e-22	36%	89.0
YEL012W	Paxin1_168830	8e-22	37%	86.7
YEL013W	Paxin1_165025	0.0	57%	646
YEL014C				
YEL015W				
YEL016C	Paxin1_167644	2e-52	29%	184
YEL016C	Paxin1_83669	9e-40	27%	147
YEL017C-A				
YEL017W				
YEL018C-A				
YEL018W				
YEL019C	Paxin1_111190	3e-11	32%	60.8
YEL020C	Paxin1_168208	5e-27	24%	114
YEL020C-B				
YEL020W-A	Paxin1_167832	8e-34	64%	110
YEL021W	Paxin1_174709	6e-91	50%	269
YEL022W	Paxin1_98239	2e-103	24%	362
YEL022W	Paxin1_153129	2e-32	37%	136
YEL023C	Paxin1_167656	6e-50	28%	182
YEL023C	Paxin1_80411	4e-40	38%	154
YEL023C	Paxin1_170907	2e-39	40%	155
YEL023C	Paxin1_90439	6e-37	39%	137
YEL023C	Paxin1_97582	5e-36	37%	144
YEL024W	Paxin1_165014	8e-88	59%	259
YEL025C				
YEL026W	Paxin1_172106	1e-50	67%	155
YEL026W	Paxin1_68251	4e-21	36%	82.8
YEL027W	Paxin1_78170	4e-78	77%	229
YEL027W	Paxin1_129957	5e-61	61%	185
YEL027W	Paxin1_134295	5e-17	31%	73.9
YEL028W				
YEL029C	Paxin1_125652	3e-49	32%	167
YEL030C-A				
YEL030W	Paxin1_169045	0.0	65%	836
YEL030W	Paxin1_162475	0.0	51%	556
YEL030W	Paxin1_167442	1e-179	47%	524
YEL030W	Paxin1_73182	1e-171	45%	501
YEL030W	Paxin1_120135	2e-57	43%	194
YEL031W	Paxin1_169590	0.0	51%	1194
YEL031W	Paxin1_177712	1e-57	28%	213
YEL031W	Paxin1_80532	8e-22	24%	101
YEL031W	Paxin1_170232	2e-21	24%	100
YEL031W	Paxin1_80503	8e-21	26%	98.2
YEL032C-A				
YEL032W	Paxin1_164971	0.0	59%	716
YEL032W	Paxin1_109366	3e-93	35%	315
YEL032W	Paxin1_170560	6e-92	33%	313
YEL032W	Paxin1_123446	3e-87	41%	295
YEL032W	Paxin1_85941	4e-83	40%	284
YEL033W				
YEL034C-A				
YEL034W	Paxin1_167447	8e-83	73%	240
YEL035C				
YEL036C				
YEL037C	Paxin1_167292	2e-13	59%	70.1
YEL038W				
YEL039C				
YEL040W	Paxin1_163280	3e-83	40%	260
YEL041W	Paxin1_69984	2e-96	37%	307
YEL041W	Paxin1_176439	3e-54	40%	186
YEL042W	Paxin1_167572	1e-112	43%	343
YEL042W	Paxin1_168184	1e-29	26%	122
YEL043W				
YEL044W	Paxin1_133026	4e-17	46%	73.2
YEL045C				
YEL046C	Paxin1_164959	1e-84	42%	260
YEL046C	Paxin1_5638	2e-82	42%	256
YEL047C	Paxin1_20043	7e-101	40%	313
YEL047C	Paxin1_18357	7e-101	40%	313
YEL047C	Paxin1_168296	1e-19	25%	91.3
YEL047C	Paxin1_175525	1e-14	24%	74.7
YEL048C				
YEL049W				
YEL050C	Paxin1_80219	4e-96	48%	291
YEL050C	Paxin1_166030	7e-20	34%	87.0
YEL050W-A				
YEL051W	Paxin1_98598	1e-89	62%	266
YEL052W	Paxin1_166457	2e-93	39%	293
YEL053C				
YEL053W-A				
YEL054C	Paxin1_167223	1e-87	72%	253
YEL055C	Paxin1_131583	8e-32	27%	133
YEL056W	Paxin1_106104	7e-70	33%	227
YEL056W	Paxin1_105598	1e-12	26%	68.2
YEL057C				
YEL058W	Paxin1_165183	3e-146	46%	431
YEL059C-A				
YEL059W				
YEL060C	Paxin1_18477	6e-133	49%	398
YEL061C	Paxin1_112407	2e-75	49%	269
YEL061C	Paxin1_168086	2e-38	46%	154
YEL061C	Paxin1_166017	5e-37	47%	150
YEL061C	Paxin1_168423	1e-27	53%	120
YEL061C	Paxin1_171676	7e-27	38%	116
YEL062W	Paxin1_74591	9e-27	38%	111
YEL063C	Paxin1_168793	9e-126	39%	380
YEL063C	Paxin1_165046	7e-123	40%	372
YEL063C	Paxin1_6905	5e-108	37%	334
YEL063C	Paxin1_66349	5e-105	36%	326
YEL063C	Paxin1_66437	3e-103	36%	321
YEL064C	Paxin1_70302	9e-89	38%	277
YEL064C	Paxin1_165754	5e-23	23%	100
YEL065W	Paxin1_63937	2e-60	28%	211
YEL065W	Paxin1_129099	2e-14	22%	75.5
YEL065W	Paxin1_83157	6e-12	23%	67.4
YEL065W	Paxin1_88612	8e-12	24%	67.0
YEL065W	Paxin1_76935	3e-11	22%	65.1
YEL066W				
YEL067C				
YEL068C				
YEL069C	Paxin1_86777	8e-111	36%	339
YEL069C	Paxin1_113728	8e-86	33%	276
YEL069C	Paxin1_169976	7e-82	33%	265
YEL069C	Paxin1_169083	3e-60	30%	208
YEL069C	Paxin1_167136	6e-58	29%	201
YEL070W				
YEL071W	Paxin1_172721	2e-152	46%	443
YEL071W	Paxin1_11278	3e-32	27%	129
YEL071W	Paxin1_111837	5e-30	26%	122
YEL071W	Paxin1_98897	5e-29	26%	119
YEL072W				
YEL073C				
YEL074W				
YEL075C				
YEL075W-A				
YEL076C				
YEL076C-A				
YEL077C				
YEL077W-A				
YER001W				
YER002W	Paxin1_73884	3e-16	29%	74.3
YER003C	Paxin1_167233	2e-119	45%	353
YER003C	Paxin1_176699	7e-83	36%	259
YER004W	Paxin1_65728	3e-13	32%	65.9
YER005W	Paxin1_168184	4e-97	34%	313
YER005W	Paxin1_167572	1e-37	26%	146
YER006C-A				
YER006W	Paxin1_166573	6e-51	32%	181
YER006W	Paxin1_160524	4e-38	28%	146
YER006W	Paxin1_172309	5e-36	34%	141
YER006W	Paxin1_165258	1e-14	31%	75.5
YER007C-A	Paxin1_175896	7e-54	48%	168
YER007W	Paxin1_132022	3e-35	25%	137
YER008C	Paxin1_165250	8e-12	27%	68.9
YER009W	Paxin1_162073	2e-50	60%	155
YER010C	Paxin1_153904	3e-26	33%	102
YER011W				
YER012W	Paxin1_173061	7e-67	48%	202
YER012W	Paxin1_25962	8e-33	47%	112
YER012W	Paxin1_168130	4e-11	28%	60.1
YER013W	Paxin1_6118	0.0	47%	911
YER013W	Paxin1_104185	0.0	60%	697
YER013W	Paxin1_166638	0.0	48%	618
YER013W	Paxin1_104222	0.0	58%	581
YER013W	Paxin1_64876	0.0	47%	579
YER014C-A				
YER014W	Paxin1_101741	1e-23	26%	103
YER015W	Paxin1_74111	1e-85	32%	284
YER015W	Paxin1_167347	9e-50	27%	185
YER015W	Paxin1_99370	3e-20	24%	94.4
YER015W	Paxin1_69019	3e-14	25%	75.9
YER015W	Paxin1_77684	6e-14	25%	74.7
YER016W	Paxin1_169366	1e-61	40%	196
YER017C	Paxin1_165229	0.0	58%	716
YER017C	Paxin1_168077	5e-107	39%	344
YER017C	Paxin1_155829	1e-51	42%	192
YER017C	Paxin1_167990	2e-50	40%	182
YER017C	Paxin1_81037	6e-50	41%	180
YER018C				
YER019C-A	Paxin1_132822	4e-16	46%	66.2
YER019W	Paxin1_159971	2e-51	31%	179
YER020W	Paxin1_86664	6e-137	56%	396
YER020W	Paxin1_138616	8e-117	52%	345
YER020W	Paxin1_167153	1e-103	45%	311
YER020W	Paxin1_164890	6e-70	36%	225
YER020W	Paxin1_163508	3e-43	65%	146
YER021W	Paxin1_171680	2e-82	35%	264
YER022W				
YER023C-A				
YER023W	Paxin1_168328	3e-56	37%	182
YER024W	Paxin1_81785	1e-69	26%	245
YER025W	Paxin1_80444	0.0	75%	709
YER025W	Paxin1_165106	7e-15	27%	75.9
YER026C	Paxin1_74744	6e-66	46%	204
YER027C				
YER028C	Paxin1_154238	2e-15	60%	77.0
YER028C	Paxin1_37939	6e-12	53%	59.3
YER028C	Paxin1_110857	1e-11	53%	65.9
YER028C	Paxin1_166850	6e-11	43%	57.8
YER028C	Paxin1_95840	6e-11	45%	63.2
YER029C	Paxin1_6571	5e-17	43%	73.6
YER030W				
YER031C	Paxin1_170075	4e-92	60%	268
YER031C	Paxin1_164865	4e-56	47%	176
YER031C	Paxin1_73497	5e-54	44%	171
YER031C	Paxin1_165176	3e-48	47%	157
YER031C	Paxin1_168142	6e-44	42%	145
YER032W				
YER033C				
YER034W				
YER035W				
YER036C	Paxin1_171978	0.0	50%	616
YER036C	Paxin1_84947	6e-70	33%	238
YER036C	Paxin1_5505	1e-61	41%	211
YER036C	Paxin1_166847	9e-36	26%	142
YER036C	Paxin1_162104	7e-35	28%	140
YER037W	Paxin1_68496	2e-44	40%	150
YER038C				
YER038W-A				
YER039C	Paxin1_165630	2e-88	52%	265
YER039C-A	Paxin1_165630	5e-11	38%	55.5
YER040W	Paxin1_171258	2e-20	55%	95.5
YER040W	Paxin1_128057	3e-20	75%	95.1
YER040W	Paxin1_163968	2e-14	62%	75.9
YER041W	Paxin1_26120	3e-12	22%	66.2
YER042W	Paxin1_172795	6e-52	47%	163
YER043C	Paxin1_11847	0.0	76%	681
YER044C	Paxin1_136700	1e-36	45%	122
YER044C-A				
YER045C				
YER046W				
YER046W-A				
YER047C	Paxin1_94923	6e-74	42%	248
YER047C	Paxin1_78055	9e-54	38%	190
YER047C	Paxin1_165843	7e-39	38%	154
YER047C	Paxin1_134976	5e-36	33%	145
YER047C	Paxin1_165768	6e-36	34%	140
YER048C	Paxin1_89465	3e-45	29%	160
YER048C	Paxin1_17874	3e-43	29%	158
YER048C	Paxin1_94893	5e-35	31%	130
YER048C	Paxin1_6699	7e-32	32%	125
YER048C	Paxin1_69259	9e-31	48%	117
YER048W-A	Paxin1_168581	3e-18	41%	71.6
YER049W	Paxin1_67453	5e-90	33%	291
YER050C				
YER051W	Paxin1_98277	2e-65	32%	223
YER052C	Paxin1_169299	6e-134	49%	400
YER052C	Paxin1_172004	6e-46	49%	157
YER053C	Paxin1_66023	2e-75	44%	232
YER053C	Paxin1_175533	4e-58	35%	188
YER053C	Paxin1_165693	5e-16	26%	75.9
YER053C-A				
YER054C	Paxin1_130556	4e-12	35%	67.4
YER055C	Paxin1_12243	3e-101	52%	298
YER056C	Paxin1_103738	9e-88	33%	278
YER056C	Paxin1_92066	6e-75	34%	244
YER056C	Paxin1_164496	3e-73	32%	241
YER056C	Paxin1_177489	7e-65	31%	218
YER056C	Paxin1_169681	3e-59	31%	204
YER056C-A	Paxin1_59655	3e-53	70%	162
YER057C	Paxin1_6348	4e-35	45%	117
YER057C	Paxin1_172163	6e-32	41%	108
YER057C	Paxin1_53756	9e-26	36%	93.2
YER057C	Paxin1_157033	5e-15	36%	65.9
YER057C	Paxin1_5924	2e-13	42%	62.4
YER058W				
YER059W	Paxin1_174415	7e-42	42%	153
YER059W	Paxin1_167224	8e-13	46%	67.0
YER060W	Paxin1_103738	3e-85	33%	272
YER060W	Paxin1_164496	2e-73	33%	241
YER060W	Paxin1_92066	3e-69	34%	229
YER060W	Paxin1_169681	1e-63	34%	215
YER060W	Paxin1_177489	6e-61	32%	207
YER060W-A	Paxin1_103738	1e-83	33%	268
YER060W-A	Paxin1_164496	4e-71	32%	236
YER060W-A	Paxin1_92066	6e-71	36%	234
YER060W-A	Paxin1_177489	2e-63	34%	214
YER060W-A	Paxin1_169681	3e-60	31%	206
YER061C	Paxin1_9490	4e-30	26%	123
YER061C	Paxin1_82703	5e-20	24%	91.3
YER061C	Paxin1_32164	2e-17	24%	82.4
YER061C	Paxin1_115494	2e-14	26%	75.1
YER061C	Paxin1_12391	3e-14	28%	74.3
YER062C	Paxin1_96547	7e-34	35%	121
YER062C	Paxin1_158079	4e-20	35%	87.0
YER062C	Paxin1_95016	1e-17	33%	77.0
YER063W				
YER064C				
YER065C	Paxin1_111224	0.0	54%	599
YER065C	Paxin1_160098	3e-154	42%	452
YER065C	Paxin1_169049	8e-13	37%	68.9
YER066C-A				
YER066W	Paxin1_98660	9e-34	37%	125
YER066W	Paxin1_66430	4e-15	30%	71.6
YER067C-A				
YER067W				
YER068C-A				
YER068W	Paxin1_111882	7e-69	47%	236
YER069W	Paxin1_168836	0.0	49%	805
YER070W	Paxin1_161806	0.0	64%	1193
YER071C				
YER072W	Paxin1_108309	4e-65	70%	192
YER072W	Paxin1_94299	2e-61	71%	183
YER072W	Paxin1_81221	4e-32	51%	118
YER072W	Paxin1_122639	2e-24	38%	91.7
YER073W	Paxin1_76843	0.0	52%	516
YER073W	Paxin1_166296	3e-166	51%	479
YER073W	Paxin1_182543	5e-162	48%	469
YER073W	Paxin1_67347	5e-102	39%	315
YER073W	Paxin1_96663	2e-93	36%	293
YER074W	Paxin1_165143	6e-52	63%	160
YER074W-A	Paxin1_107659	8e-11	40%	52.8
YER075C				
YER076C				
YER076W-A				
YER077C				
YER078C	Paxin1_107213	1e-106	38%	327
YER078W-A				
YER079C-A				
YER079W				
YER080W	Paxin1_168564	2e-24	26%	107
YER080W	Paxin1_79920	3e-14	23%	74.7
YER080W	Paxin1_102410	3e-14	23%	74.7
YER080W	Paxin1_100369	5e-14	23%	72.4
YER080W	Paxin1_102369	1e-13	24%	71.2
YER081W	Paxin1_173859	0.0	56%	543
YER081W	Paxin1_168982	6e-27	30%	110
YER081W	Paxin1_166955	9e-24	28%	101
YER081W	Paxin1_99368	3e-23	31%	99.8
YER081W	Paxin1_121640	1e-22	25%	97.1
YER082C	Paxin1_132996	4e-120	38%	366
YER083C				
YER084W				
YER084W-A				
YER085C				
YER086W	Paxin1_97439	0.0	53%	581
YER086W	Paxin1_155804	3e-124	40%	377
YER086W	Paxin1_86206	1e-85	41%	270
YER087C-A				
YER087C-B	Paxin1_132822	3e-12	38%	55.8
YER087W				
YER088C				
YER088C-A				
YER088W-B				
YER089C	Paxin1_161902	1e-86	46%	276
YER089C	Paxin1_70913	2e-19	42%	89.4
YER090C-A				
YER090W	Paxin1_162313	0.0	55%	543
YER090W	Paxin1_165359	3e-29	28%	121
YER090W	Paxin1_102791	8e-27	28%	112
YER090W	Paxin1_76223	1e-17	28%	84.7
YER091C	Paxin1_67861	0.0	57%	844
YER091C-A				
YER092W				
YER093C	Paxin1_167700	8e-109	28%	374
YER093C-A				
YER094C	Paxin1_165321	7e-95	64%	274
YER095W	Paxin1_160066	5e-88	42%	269
YER096W	Paxin1_165464	3e-34	33%	134
YER096W	Paxin1_73269	5e-24	30%	103
YER097W				
YER098W	Paxin1_64269	9e-58	37%	210
YER098W	Paxin1_175990	6e-22	28%	100
YER098W	Paxin1_7624	7e-19	25%	90.1
YER098W	Paxin1_168292	1e-18	27%	89.7
YER098W	Paxin1_6781	3e-18	26%	88.6
YER099C	Paxin1_165159	1e-131	58%	376
YER100W	Paxin1_89932	1e-67	56%	209
YER100W	Paxin1_24141	8e-30	36%	108
YER100W	Paxin1_164151	2e-19	37%	80.9
YER100W	Paxin1_170199	1e-17	34%	77.0
YER100W	Paxin1_168830	2e-16	33%	73.2
YER101C				
YER102W	Paxin1_166933	2e-97	67%	281
YER103W	Paxin1_162475	0.0	79%	986
YER103W	Paxin1_167442	0.0	62%	783
YER103W	Paxin1_73182	0.0	64%	755
YER103W	Paxin1_169045	0.0	49%	573
YER103W	Paxin1_120135	1e-93	57%	289
YER104W				
YER105C	Paxin1_159840	1e-71	23%	263
YER106W				
YER107C	Paxin1_169908	3e-113	49%	333
YER107C	Paxin1_171655	6e-68	37%	216
YER107C	Paxin1_80956	3e-14	26%	73.2
YER107C	Paxin1_166897	1e-11	25%	64.7
YER107C	Paxin1_8359	1e-11	27%	63.5
YER107W-A				
YER109C				
YER110C	Paxin1_165528	3e-124	28%	406
YER110C	Paxin1_172266	9e-18	26%	87.8
YER111C	Paxin1_66463	2e-24	46%	109
YER111C	Paxin1_107851	6e-24	46%	107
YER111C	Paxin1_96373	1e-23	46%	98.2
YER112W	Paxin1_169031	2e-18	43%	76.6
YER113C	Paxin1_90450	1e-41	26%	159
YER114C	Paxin1_161035	5e-16	32%	82.4
YER115C				
YER116C				
YER117W	Paxin1_164086	6e-71	72%	208
YER118C	Paxin1_165298	5e-17	54%	80.1
YER118C	Paxin1_18396	8e-15	47%	74.3
YER119C	Paxin1_165754	1e-61	33%	206
YER119C-A				
YER120W	Paxin1_167707	2e-19	32%	84.7
YER121W				
YER122C	Paxin1_169385	2e-45	41%	164
YER122C	Paxin1_178874	3e-22	39%	97.8
YER122C	Paxin1_94834	5e-18	41%	79.0
YER122C	Paxin1_104234	5e-17	36%	76.3
YER122C	Paxin1_168446	3e-15	38%	74.7
YER123W	Paxin1_18454	1e-146	60%	424
YER123W	Paxin1_74589	2e-146	61%	428
YER123W	Paxin1_88794	7e-94	47%	288
YER123W	Paxin1_89026	3e-60	37%	201
YER123W	Paxin1_7966	3e-54	36%	189
YER124C				
YER125W	Paxin1_168047	0.0	59%	1012
YER125W	Paxin1_167790	0.0	49%	793
YER125W	Paxin1_167299	1e-106	46%	359
YER125W	Paxin1_81792	7e-53	33%	197
YER125W	Paxin1_165588	4e-19	24%	92.0
YER126C	Paxin1_167307	5e-134	71%	377
YER127W	Paxin1_167914	1e-12	26%	67.0
YER128W				
YER129W	Paxin1_158418	9e-53	36%	192
YER129W	Paxin1_174169	9e-34	30%	139
YER129W	Paxin1_156431	6e-30	28%	127
YER129W	Paxin1_80186	2e-29	28%	125
YER129W	Paxin1_167119	1e-27	29%	119
YER130C	Paxin1_110857	4e-14	56%	73.9
YER130C	Paxin1_86770	7e-13	39%	64.3
YER130C	Paxin1_83471	2e-12	39%	62.0
YER130C	Paxin1_138635	1e-11	55%	65.1
YER131W	Paxin1_169665	6e-50	68%	154
YER132C				
YER133W	Paxin1_165168	2e-148	64%	424
YER133W	Paxin1_76685	3e-109	90%	313
YER133W	Paxin1_163622	8e-95	47%	282
YER133W	Paxin1_171979	2e-93	44%	278
YER133W	Paxin1_170901	4e-83	45%	253
YER133W-A				
YER134C	Paxin1_127769	9e-24	36%	91.7
YER135C				
YER136W	Paxin1_159898	0.0	57%	558
YER136W	Paxin1_7028	1e-25	26%	108
YER137C				
YER137C-A				
YER137W-A				
YER138C	Paxin1_52884	3e-22	24%	100
YER138C	Paxin1_52879	1e-21	31%	95.1
YER138C	Paxin1_52825	2e-20	28%	93.2
YER138C	Paxin1_48658	6e-12	31%	65.1
YER138W-A				
YER139C				
YER140W	Paxin1_166814	4e-63	39%	216
YER141W	Paxin1_107375	1e-107	46%	327
YER142C	Paxin1_109256	3e-14	31%	71.6
YER143W				
YER144C	Paxin1_6781	5e-69	39%	246
YER144C	Paxin1_165689	5e-27	37%	117
YER144C	Paxin1_7624	1e-24	24%	108
YER144C	Paxin1_64269	2e-17	26%	86.3
YER144C	Paxin1_22284	6e-16	32%	77.0
YER145C	Paxin1_169718	6e-81	37%	253
YER145C-A				
YER146W	Paxin1_105396	8e-23	45%	82.8
YER147C				
YER147C-A				
YER148W	Paxin1_21287	8e-117	86%	334
YER148W-A				
YER149C				
YER150W				
YER151C	Paxin1_119862	7e-48	30%	183
YER151C	Paxin1_168292	5e-11	26%	65.9
YER152C	Paxin1_166331	6e-18	27%	85.1
YER152C	Paxin1_166727	3e-12	22%	67.0
YER152W-A				
YER153C				
YER154W	Paxin1_129589	8e-14	27%	71.6
YER155C	Paxin1_164934	1e-20	31%	98.2
YER155C	Paxin1_165678	2e-16	30%	85.5
YER155C	Paxin1_165514	2e-15	31%	81.3
YER155C	Paxin1_157353	5e-15	34%	80.5
YER155C	Paxin1_167139	1e-11	30%	69.3
YER156C	Paxin1_165133	4e-100	45%	297
YER157W	Paxin1_97344	9e-38	22%	150
YER158C				
YER158W-A				
YER159C	Paxin1_161189	4e-19	47%	78.6
YER159C-A				
YER160C	Paxin1_52879	7e-23	33%	98.6
YER160C	Paxin1_52884	4e-21	23%	97.4
YER160C	Paxin1_52825	5e-21	28%	94.7
YER160C	Paxin1_48658	6e-12	31%	65.1
YER161C				
YER162C	Paxin1_175417	6e-42	28%	163
YER163C	Paxin1_163240	6e-36	37%	125
YER164W	Paxin1_166865	0.0	41%	893
YER164W	Paxin1_164904	5e-124	43%	422
YER164W	Paxin1_124217	6e-107	37%	375
YER164W	Paxin1_102214	4e-95	42%	318
YER164W	Paxin1_18333	5e-77	33%	278
YER165C-A				
YER165W	Paxin1_168375	0.0	58%	530
YER165W	Paxin1_60813	1e-24	26%	103
YER165W	Paxin1_111766	5e-23	30%	99.0
YER165W	Paxin1_170284	3e-17	23%	84.3
YER165W	Paxin1_11485	3e-17	39%	84.3
YER166W	Paxin1_89754	0.0	46%	711
YER166W	Paxin1_98711	5e-177	39%	551
YER166W	Paxin1_113875	9e-137	43%	437
YER166W	Paxin1_177648	2e-102	29%	354
YER166W	Paxin1_121137	5e-101	30%	349
YER167W				
YER168C	Paxin1_159537	2e-94	37%	298
YER169W	Paxin1_166624	3e-69	44%	246
YER169W	Paxin1_127425	3e-31	34%	131
YER169W	Paxin1_138635	5e-13	47%	70.9
YER170W	Paxin1_74556	2e-62	46%	196
YER170W	Paxin1_168359	1e-59	51%	188
YER170W	Paxin1_175667	6e-46	37%	152
YER170W	Paxin1_160301	8e-18	32%	77.8
YER171W	Paxin1_131186	0.0	62%	1056
YER171W	Paxin1_93760	4e-25	26%	108
YER171W	Paxin1_94766	4e-25	26%	108
YER171W	Paxin1_72571	4e-25	26%	108
YER172C	Paxin1_169339	0.0	44%	1595
YER172C	Paxin1_107925	0.0	33%	708
YER172C	Paxin1_98718	1e-64	29%	243
YER172C	Paxin1_12138	9e-51	33%	181
YER172C	Paxin1_47924	1e-42	31%	158
YER172C-A				
YER173W				
YER174C	Paxin1_181836	9e-32	30%	115
YER174C	Paxin1_162944	6e-25	47%	95.1
YER175C	Paxin1_171073	8e-43	34%	148
YER175W-A				
YER176W	Paxin1_110720	1e-49	30%	189
YER176W	Paxin1_81041	4e-28	29%	120
YER176W	Paxin1_111128	7e-25	28%	111
YER176W	Paxin1_75890	9e-25	29%	111
YER176W	Paxin1_139878	5e-21	32%	98.6
YER177W	Paxin1_166547	2e-145	79%	406
YER177W	Paxin1_7764	5e-120	67%	342
YER177W	Paxin1_108076	2e-85	52%	254
YER178W	Paxin1_168136	3e-164	61%	466
YER178W	Paxin1_120252	5e-32	29%	125
YER178W	Paxin1_103070	2e-31	29%	123
YER179W	Paxin1_160066	3e-120	56%	348
YER180C				
YER180C-A				
YER181C				
YER182W	Paxin1_168884	4e-17	33%	77.8
YER183C	Paxin1_169614	5e-28	30%	104
YER184C				
YER185W	Paxin1_166231	6e-18	28%	81.6
YER185W	Paxin1_75421	3e-17	33%	79.7
YER185W	Paxin1_95276	7e-14	24%	69.7
YER185W	Paxin1_104229	6e-13	26%	66.6
YER185W	Paxin1_97214	8e-11	29%	58.2
YER186C				
YER187W				
YER188C-A				
YER188W				
YER189W				
YER190C-A				
YER190C-B				
YER190W				
YFL001W	Paxin1_154059	1e-73	32%	244
YFL002C	Paxin1_166208	3e-124	37%	379
YFL002C	Paxin1_173192	1e-65	35%	224
YFL002C	Paxin1_180262	1e-62	34%	220
YFL002C	Paxin1_113041	3e-58	35%	201
YFL002C	Paxin1_173799	9e-53	34%	192
YFL002W-A	Paxin1_52884	1e-20	23%	96.3
YFL002W-A	Paxin1_52879	3e-20	31%	90.9
YFL002W-A	Paxin1_52825	2e-18	26%	87.0
YFL002W-A	Paxin1_48658	9e-11	31%	61.6
YFL002W-B				
YFL003C	Paxin1_104273	9e-101	30%	331
YFL003C	Paxin1_180060	1e-48	26%	185
YFL003C	Paxin1_163339	4e-36	26%	146
YFL003C	Paxin1_175534	2e-28	25%	121
YFL003C	Paxin1_159644	5e-27	25%	117
YFL004W	Paxin1_81221	5e-64	29%	229
YFL004W	Paxin1_122639	5e-20	35%	88.2
YFL005W	Paxin1_164865	5e-82	56%	242
YFL005W	Paxin1_73497	2e-73	52%	220
YFL005W	Paxin1_170075	2e-51	45%	164
YFL005W	Paxin1_165176	2e-49	45%	160
YFL005W	Paxin1_166756	3e-45	46%	149
YFL007W	Paxin1_64789	7e-25	22%	113
YFL008W	Paxin1_99948	0.0	34%	656
YFL008W	Paxin1_174879	8e-36	22%	147
YFL008W	Paxin1_100517	1e-30	35%	130
YFL008W	Paxin1_134132	3e-13	26%	73.9
YFL009W	Paxin1_98660	8e-93	35%	309
YFL009W	Paxin1_66430	2e-41	32%	159
YFL009W	Paxin1_26950	4e-28	32%	112
YFL009W	Paxin1_47022	6e-27	28%	114
YFL009W	Paxin1_85483	2e-25	28%	110
YFL010C				
YFL010W-A				
YFL011W	Paxin1_86777	7e-116	38%	352
YFL011W	Paxin1_113728	1e-88	33%	283
YFL011W	Paxin1_169976	1e-82	32%	266
YFL011W	Paxin1_167136	7e-65	29%	219
YFL011W	Paxin1_169083	1e-63	29%	217
YFL012W				
YFL012W-A				
YFL013C	Paxin1_64050	1e-19	28%	91.7
YFL013W-A				
YFL014W	Paxin1_70669	6e-12	43%	55.8
YFL015C				
YFL015W-A				
YFL016C	Paxin1_65314	2e-70	35%	233
YFL016C	Paxin1_79692	7e-28	28%	113
YFL016C	Paxin1_169913	1e-25	26%	107
YFL016C	Paxin1_162188	2e-25	28%	107
YFL016C	Paxin1_94893	7e-12	34%	65.1
YFL017C	Paxin1_114024	6e-28	51%	101
YFL017W-A	Paxin1_174475	1e-25	56%	89.4
YFL018C	Paxin1_168730	0.0	65%	643
YFL018C	Paxin1_164466	2e-44	28%	162
YFL019C				
YFL020C				
YFL021C-A				
YFL021W	Paxin1_128057	3e-23	74%	103
YFL021W	Paxin1_171258	5e-17	49%	83.2
YFL021W	Paxin1_163968	3e-15	60%	77.4
YFL022C	Paxin1_166381	4e-170	50%	489
YFL023W				
YFL024C	Paxin1_116937	2e-30	28%	128
YFL025C	Paxin1_7765	1e-43	36%	159
YFL026W				
YFL027C				
YFL028C	Paxin1_166234	2e-59	48%	189
YFL028C	Paxin1_13304	5e-11	29%	62.4
YFL029C	Paxin1_166586	8e-15	27%	73.2
YFL029C	Paxin1_95799	9e-15	29%	73.6
YFL029C	Paxin1_173312	8e-14	26%	71.2
YFL029C	Paxin1_70296	3e-13	27%	68.9
YFL029C	Paxin1_169263	2e-12	26%	67.4
YFL030W	Paxin1_165670	8e-93	40%	283
YFL030W	Paxin1_176387	3e-83	39%	259
YFL031C-A				
YFL031W				
YFL032W				
YFL033C	Paxin1_166391	2e-66	58%	248
